"ATH 255196 Kristendom religion og livssyn årsstudium","Alle"
"ATH 255418 Interkulturell forståelse årsstudium","Alle"
"ATH 255437 Musikk","Alle"
"ATH 255480 Teologi","Alle"
"ATH 255482 Kristendom religion og livssyn","Alle"
"ATH 255752 Psykologi årsstudium","Alle"
"ATH 255777 Musikk årsstudium","Alle"
"ATH 255869 Interkulturell forståelse","Alle"
"ATH 255876 Psykologi med religion og helse","Alle"
"ATH 255936 Praktisk teologi","Alle"
"AHO 189030 Arkitekt",12.3
"AHO 189343 Industridesign",11.7
"BDH 250050 Sykepleierutdanning",45.5
"MF 190196 Kristendom/RLE","Alle"
"MF 190242 Samfunnsfag","Alle"
"MF 190418 Interkulturell kommunikasjon","Alle"
"MF 190480 Teologi profesjonsstudium","Alle"
"MF 190482 Religion kultur og samfunn","Alle"
"MF 190927 Ungdom kultur og tro","Alle"
"MF 190934 Lektor- og adjunktprogram","Alle"
"MF 190936 Teologi","Alle"
"DHS 251050 Sykepleierutdanning Oslo",48.3
"DHS 251060 Vernepleierutdanning Rogaland",41.8
"DHS 251080 Sosialt arbeid Oslo",49.1
"DHS 251081 Sosialt arbeid deltid Oslo",42.4
"DHS 251700 Ergoterapeututdanning Rogaland",32.6
"DMMH 253130 Førskolelærerutdanning",36.3
"DMMH 253131 Førskolelærer estetisk linje",39.1
"DMMH 253132 Førskolelærer natur- og friluftslinje.",44
"DMMH 253133 Førskolelærer deltid",46.2
"DMMH 253529 Førskolelærer interkulturell linje","Alle"
"FIH 258480 Teologi og misjon","Alle"
"FIH 258626 Kristendom religion- og livssynskunnskap","Alle"
"FIH 258777 Musikk","Alle"
"HDH 252050 Sykepleierutdanning",46.1
"HIAK 202050 Sykepleierutdanning",45.3
"HIAK 202060 Vernepleierutdanning",47.4
"HIAK 202061 Vernepleierutdanning deltid",39.3
"HIAK 202063 Vernepleierutdanning deltid Bærum",39.9
"HIAK 202082 Yrkesfaglærerutd. i medier og kommunikasjon","Alle"
"HIAK 202105 Yrkesfaglærerutd. i service og samferdsel","Alle"
"HIAK 202106 Yrkesfaglærerutd. i helse- og sosialfag deltid","Alle"
"HIAK 202108 Yrkesfaglærerutd. i design-og håndverksfag deltid","Alle"
"HIAK 202109 Yrkesfaglærerutd. i bygg og anleggsteknikk","Alle"
"HIAK 202123 Yrkesfaglærerutd. i helse- og sosialfag","Alle"
"HIAK 202124 Yrkesfaglærerutd. i restaurant- og matfag","Alle"
